syllable,start_frame,duration_frames
99,17047,13
0,17060,8
0,17329,3
11,17558,6
4,17569,3
8,17572,7
8,17586,22
11,17608,8
4,17623,6
3,17635,4
1,17639,9
1,17652,12
2,17667,5
2,17686,3
21,17689,56
0,17745,105
9,17850,187
9,18046,8
20,18054,40
1,18094,25
20,18123,7
9,18130,14
1,18144,128
1,18277,26
9,18303,50
9,18360,19
16,18379,9
20,18388,6
20,18396,17
20,18423,11
1,18434,27
9,18461,105
1,18566,64
9,18630,13
1,18643,35
99,18678,5
9,18683,8
1,18691,40
9,18731,7
1,18738,240
2,18978,10
1,18988,18
9,19006,31
1,19037,40
2,19174,6
1,19180,27
8,19207,18
1,19225,11
2,19236,10
9,19246,133
1,19379,27
17,19406,34
1,19440,46
9,19486,62
1,19548,26
2,19574,12
1,19586,32
7,19618,27
1,19645,19
2,19664,3
1,19667,151
2,19818,10
1,19828,142
3,19970,5
21,19975,25
99,20000,6
1,20006,82
16,20088,31
1,20119,59
2,20178,5
1,20183,80
9,20263,10
1,20273,30
9,20303,4
1,20307,47
7,20354,56
1,20410,22
20,20432,36
1,20468,182
9,20650,6
1,20656,36
16,20692,6
1,20698,108
9,20806,7
1,20813,17
16,20830,16
1,20846,58
21,20904,56
1,20960,59
2,21019,6
1,21025,130
2,21155,5
1,21160,7
1,21173,67
7,21240,20
1,21260,100
20,21360,43
6,21403,49
7,21452,117
1,21569,210
7,21779,14
1,21793,35
20,21828,12
1,21840,30
7,21870,124
1,21994,87
7,22081,20
1,22101,85
7,22186,38
1,22224,46
2,22270,8
0,22278,33
2,22311,79
6,22390,73
2,22463,6
7,22469,96
0,22565,3
1,22568,27
2,22595,5
1,22600,38
2,22638,28
1,22666,12
1,22682,7
7,22689,23
3,22712,7
1,22719,38
0,22757,39
17,22796,276
2,23072,4
1,23076,66
7,23142,70
2,23212,6
17,23218,57
1,23275,61
2,23336,6
17,23342,546
1,23888,39
17,23927,122
3,24049,3
9,24052,31
1,24083,7
16,24090,9
17,24099,41
7,24140,94
0,24234,59
16,24293,26
0,24319,14
4,24333,4
8,24337,12
3,24349,5
2,24368,20
2,24401,19
1,24420,41
8,24461,6
1,24467,10
7,24477,77
5,24558,3
0,24561,58
2,24625,46
15,24671,118
23,24789,46
3,24835,3
1,24838,40
23,24878,33
0,24911,5
0,24921,12
0,24934,3
0,24941,6
3,24947,21
0,24968,10
2,24978,11
1,24989,11
2,25000,4
1,25004,78
21,25082,112
2,25194,12
7,25206,45
7,25252,46
1,25298,26
7,25324,90
2,25414,27
3,25441,8
3,25450,10
2,25460,20
1,25480,15
2,25495,64
14,25559,837
17,26396,383
19,26779,12
1,26791,40
5,26831,3
0,26834,17
2,26851,16
8,26867,43
7,26910,57
5,26967,3
7,26970,18
3,26988,4
99,26995,5
2,27000,20
0,27020,31
19,27051,108
1,27159,58
3,27217,3
17,27220,71
19,27291,18
1,27309,39
19,27348,22
7,27370,33
1,27403,29
19,27432,31
1,27463,17
19,27480,60
1,27540,15
19,27555,26
6,27581,76
15,27657,42
3,27699,6
15,27705,29
6,27734,22
0,27756,5
1,27761,12
2,27773,22
1,27795,14
16,27809,17
1,27826,45
6,27871,32
2,27903,33
0,27936,21
2,27957,42
1,27999,47
19,28046,39
2,28085,10
17,28095,265
6,28360,11
6,28377,59
3,28436,3
0,28439,40
2,28482,7
6,28489,26
6,28518,36
2,28554,43
6,28597,6
6,28606,21
6,28633,20
6,28657,4
6,28672,3
6,28681,4
6,28699,6
0,28705,15
7,28720,15
7,28740,9
9,28749,12
6,28761,67
1,28828,38
9,28866,12
1,28878,63
19,28941,49
1,28990,25
2,29015,28
6,29043,118
2,29161,23
4,29191,2
0,29193,4
3,29197,4
3,29219,3
9,29226,74
9,29303,6
2,29309,19
1,29328,8
8,29336,17
6,29353,35
0,29431,46
1,29477,33
4,29510,5
0,29515,5
3,29520,6
4,29526,7
0,29533,4
0,29542,14
4,29556,4
0,29560,12
4,29572,4
0,29576,12
8,29588,15
0,29603,12
8,29615,18
0,29633,29
4,29662,16
0,29678,23
0,29722,28
12,29755,3
0,29758,15
3,29773,5
0,29778,10
2,29788,23
15,29811,13
15,29828,9
2,29837,5
0,29899,3
0,29927,2
99,30006,5
0,30012,5
0,30030,10
0,30042,4
3,30048,8
0,30163,7
23,30172,14
23,30191,20
3,30233,3
3,30266,18
2,30284,15
11,30299,4
2,30573,5
23,30578,5
15,30583,46
8,30629,9
0,30649,11
0,30667,4
3,30739,6
1,30787,13
0,30806,3
1,30809,6
1,30817,8
1,30826,4
1,30834,5
0,30839,12
17,30851,35
17,30889,38
17,30928,71
2,30999,10
7,31009,11
7,31025,22
7,31052,14
7,31071,9
7,31081,5
7,31106,11
4,31117,9
4,31127,4
3,31131,6
9,31137,45
1,31182,62
20,31244,6
1,31253,113
9,31366,36
2,31402,34
4,31436,9
13,31445,12
0,31457,61
2,31518,9
1,31527,16
3,31543,4
1,31547,18
3,31565,5
1,31570,59
8,31629,5
1,31634,29
19,31663,5
1,31668,10
2,31678,5
1,31683,80
13,31763,3
0,31766,55
19,31821,42
1,31863,43
2,31906,10
6,31916,23
99,31939,15
0,31954,34
2,31995,6
1,32001,54
1,32056,29
3,32085,16
2,32101,62
19,32163,67
3,32230,5
6,32235,107
1,32342,29
2,32371,48
3,32419,13
3,32437,15
7,32452,22
19,32474,41
1,32515,16
1,32536,26
0,32562,12
19,32574,16
3,32590,3
0,32593,18
1,32611,20
8,32631,33
1,32664,19
3,32683,5
1,32688,79
13,32767,5
1,32772,31
13,32803,3
0,32806,4
1,32810,20
19,32830,30
1,32860,19
19,32879,21
3,32923,20
2,32943,23
2,32967,39
1,33006,28
1,33035,12
2,33047,6
2,33057,27
2,33085,5
1,33090,48
0,33138,4
1,33142,25
0,33167,10
0,33180,9
0,33199,10
5,33209,4
0,33213,60
7,33273,34
99,33313,6
0,33319,7
0,33331,5
0,33342,13
0,33365,44
0,33413,6
0,33421,18
2,33439,10
0,33466,4
5,33473,3
0,33476,4
0,33485,7
0,33494,18
0,33516,60
2,33576,13
1,33589,28
0,33617,23
1,33640,57
2,33705,3
2,33711,6
2,33720,12
1,33732,22
13,33754,5
7,33759,38
1,33797,13
0,33810,20
7,33830,35
0,33866,14
2,33896,4
2,33904,33
3,33937,15
3,33956,13
8,33969,34
1,34003,284
1,34296,3
1,34300,120
3,34420,3
6,34423,26
1,34449,140
2,34589,15
1,34604,339
2,34943,83
5,35026,3
0,35029,26
19,35055,30
1,35085,43
9,35128,40
3,35168,7
7,35175,7
13,35182,3
0,35185,48
13,35237,10
2,35247,13
0,35260,5
2,35265,21
1,35286,36
2,35322,4
1,35326,77
2,35403,6
1,35409,26
2,35435,14
6,35449,55
1,35504,224
2,35728,21
2,35750,19
3,35769,3
7,35772,10
1,35812,14
1,35833,15
